CONSECUTIVO,ESTABLECIMIENTO,CIUDADMUNICIPIO,DIRECCION,PRODUCTOSELABORADOS,FECHACERTIFICACION
50,SIGNA GRAIN CO S.A.S,BOGOTA,CARRERA 68A # 19-80,"MEZCLA PARA PANCAKES , WAFLES Y CREPES, AVENA EN HOJUELA CON SABORES Y ZERO AZUCAR, AVENA INSTANTANEA CON SABORES .",02/20/2015 12:00:00 AM
51,COMERCIALIZA SAS,BOGOTA,CALLE 51 # 70D-06,"MEZCLA EN POLVO A BASE DE PANELA LISTA, PANELA SABORIZADA A, MEZCLA LISTA PARA PREPARAR BEBIDA CON SABOR A AVENA Y MEZCLA EN POLVO LISTA PARA PREPARAR REFRESCON CON TE Y SABOR",12/12/2014 12:00:00 AM
52,T-VAPAN 500 S.A,SAN PEDRO,CARRERA 6 # 2-47,"MEZCLAS SECAS (MEJORADORES, PREMEZCLAS PANADERIA, PREMEZCLAS PASTELERIA, PRODUCTOS ENZIMÁTICOS PARA LA MOLINERÍA) HUMEDOS ( RECUBRIMIENTOS, BRILLOS Y RELLENOS PASTELERÍA, EMULSIFICANTES PARA PANADERÍA Y PASTELERÍA, CREMAS PASTELERAS), CHOCOLATERÍA ( COBERTURAS, CREMA DE CHOCOLATE PARA COBERTURA Y RELLENO, BLOQUES PARA VIRUTA Y CHIPS)",07/30/2014 12:00:00 AM
53,COMPAÑÍA NACIONAL DE LEVADURAS LEVAPAN S.A,TULUA,CARRERA 27A  # 40- 470,"ELABORACION DE LEVADURA PARA PANADERIA, PROTEINA VEGETAL HIDROLIZADA, EXTRACTOS DE LEVADURA, BETA GLUCAN DE LEVADURAS Y SABORES.",04/30/2014 12:00:00 AM
54,AGRICOLA HIMALAYA S.A.,YUMBO,"CALLE 15 # 31A - 33 BODEGAS 1,2, y 3","MEZCLAS Y EMPAQUES DE TE DE DIFERENTES SABORES, TE SOLUBLE INSTANTANEO, MEZCLA DE TE PARA PREPARAR BEBIDA LIGHT DE DIFERENTES SABORES, INFUSIONES, HIERBAS AROMATICAS",04/04/2014 12:00:00 AM
55,TZF LTDA.,PALMIRA,"ZONA FRANCA PALMASECA BODEGA 30, 31 C",MEZCLAS Y PREMEZCLAS PARA LA INDUSTRIA ALIMENTICIA,04/02/2014 12:00:00 AM
56,PHARMALACTEOS S.A,BOGOTA,AVENIDA 68 # 12-58,ALIMENTOS EN POLVO ADICIONADOS CON NUTRIENTES,02/21/2014 12:00:00 AM
57,INDES S.A.S,BOGOTA,CALLE 65 A # 93 - 28 ALAMOS ZONA INDUSTRIAL,"SALSA DE TOMATE, PASTA DE TOMATE, SALSA NAPOLITANA(DIFERENTES VARIEDADES), SALSA PIZZA, ADEREZOS SALSA CON TOMATE (PREMIUM Y CLASSIC), INDUSTRIAL, ADEREZO SALSA NAPOLITANA, ADEREZO SALSA NAPOLITANA INDUSTRIAL, ADEREZO SALSA PARA PIZZA, ADEREZO SALSA PARA PIZZA INDUSTRIAL, ADEREZO SALSA ROSADA, ADEREZO BARBECUE, ADEREZO SALSA HOGAO, ADEREZO SALSA CON AJI, ADEREZO DULCE CON SABOR A MIEL, ADEREZO MOSTAZA DULCE CON SABOR A MIEL, MERMELADA DIFERENTES VARIEDADES, REEMPA DE ADEREZO TIPO MAYONESA, REEMPAQUE DE GALLETAS INDUSTRIALES, REEMPAQUE DE ALIMENTOS SOLIDOS Y LIQUIDOS A TERCEROS Y MARCAS PROPIAS.",09/25/2013 12:00:00 AM
58,LAFRANCOL INTERNATIONAL S.A.S,PALMIRA,KILOMETRO 6 VIA YUMBO-AEROPUERTO SUPERMANZANA G ZONA FRANCA DEL PACIFICO BODEGA 11,"ENSOY VAINILLA Y FRESA, ENSOY NIÑOS VAINILLA, FRESA Y CHOCOLATE, ENSOY DIABETICOS VAINILLA Y FRESA Y ENSOY PROTEINA.",09/20/2013 12:00:00 AM
59,ALIMENTOS MARLUZ E.U,BOGOTA,CARRERA 70C # 116 A - 12,PREPARACION DE ALMUERZOS PARA RESTAURANTE ESTUDIANTIL Y REFRIGERIOS ESTUDIANTILES,08/02/2013 12:00:00 AM
60,LABORATORIOS VIDA STEVIA SA,BOGOTA,CARRERA 42B  - 13-94,PRODUCCION COMERCIALIZACION IMPORTACION EXPORTACION Y REPRESENTACION DE ENDULZANTES NATURALES PRODUCTOS NATURALES EN GENERAL ALIMENTOS SUPLEMENTOS ALIMENTICIOS COSMETICOS Y MEDICINALES PARA HUMANOS Y ANIMALES,05/15/2013 12:00:00 AM
61,DIPSA FOOD ENERGY REPRESENTACIONES,BOGOTA,TRANSVERSAL 93 No 51 - 98 BOD 47 PARQUE INDUSTRIAL PUERTA DEL SOL,"PLATANITOS DULCES Y SALADOS, MANI VARIEDADES, AJONJOLI TOSTADO, AJONJOLI DESCORTEZADO, AJONJOLI CUBIERTO CON CHOCOLATE, BARRAS CON FRUTAS DESHIDRATADAS VARIEDADES, CEREALES VARIEDADES Y FRUTAS DESHIDRATADAS VARIEDADES.",03/05/2013 12:00:00 AM
62,INVERSIONES LA CATIRA LTDA,CUMARAL,KILOMETRO 21 VIA VILLAVICENCIO - CUMARAL,"YOGURT SEMIDESCREMADO CON DULCE, BEBIDA LACTEA, QUESO FRESCO SEMIDURO SEMIGRASO, KUMIS",03/01/2013 12:00:00 AM
63,ALPINA CAUCA ZONA FRANCA S.A.S.,CALOTO,PARQUE INDUSTRIAL Y COMERCIAL DEL CAUCA,"FABRICACIÓN, TRANSFORMACIÓN, DESARROLLO, EXPLOTACIÓN, COMPRAVENTA, DISTRIBUCIÓN, IMPORTACIÓN, EXPORTACIÓN DE TODA CLASE DE PRODUCTOS ALIMENTICIOS ENTRE OTRAS ACTIVIDADES.",12/12/2012 12:00:00 AM
64,INDUSTRIAS EL PUMA,VELEZ,ZONA INDUSTRIAL LOS GUAYABOS,PRODUCCION Y COMERCIALIZACIÓN DE BOCADILLO VELEÑO,11/23/2012 12:00:00 AM
65,FABRICA DE COMESTIBLES LA ROSA S.A.,DOSQUEBRADAS,CALLE 29  # 10-215,PRODUCTOS DE GALLETERÍA Y CONFITERÍA Y ELABORACIÓN DE PRODUCTOS ALIMENTICIOS,10/12/2012 12:00:00 AM
66,ACOSTA RIVERA S.A.,SUBACHOQUE,CARRERA 3  # 5 - 35 / 39,"LECHE CONDENSADA, AREQUIPE, AREQUIPE ENRIQUECIDO CON HIERRO, DULCE DE LECHE VARIEDADES: ROLLITO DE LECHE, CARAMELO DE LECHE, PANELITA Y COCADA",09/27/2012 12:00:00 AM
67,MANITOBA LTDA,CALI,CARRERA 8 # 34 - 28 / 56,"PRODUCCIÓN Y COMERCIALIZACIÓN DE DERIVADOS DEL MANÍ, ASÍ COMO LA PRODUCCIÓN DE PRODUCTOS ALIMENTICIOS EN GENERAL Y SU COMERCIALIZACIÓN",09/03/2012 12:00:00 AM
68,ALPINA PRODUCTOS ALIMENTICIOS S.A.,CHINCHINA,VEREDA EL EDÉN 200 METROS SALIDA MANIZALES,"JUGOS SIMPLES Y CONCENTRADOS DE FRUTA CONGELADA Y ASEPTICOS, SALSAS ASEPTICAS, MERMELADAS INDUSTRIALES, PASTAS, BASES Y RELLENOS DE FRUTAS, MERMELADAS DE MESA A BASE DE FRUTAS, MERMELADAS PORCIONADAS, BEBIDAS CON LECHE Y CAFE (CAFFE LATTE), PAPILLAS Y COMPOTAS PARA BEBE, JUGOS Y NECTARES PARA BEBE, ALIMENTOS CON FRUTA PARA ADULTOS (FRUTTO CUCHAREABLE). LECHES UAT (UHT) LARGA VIDA, LECHES SABORIZADAS Y AVENA UAT (UHT) EN BOLSA.",08/14/2012 12:00:00 AM
69,INDUSTRIAS DEL MAIZ - CORN PRODUCTS ANDINA (INGREDION COLOMBIA S.A),SABANAGRANDE,CARRETERA ORIENTAL KILOMETRO 2 VIAS SABANAGRANDE,PRODUCTOS DE BIENESTARINA POR CONCESION CON EL INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,04/20/2012 12:00:00 AM
70,MOLINOS SANTA MARTA SAS,GUADALAJARA DE BUGA,CARRETERA CENTRAL FRENTE AL SENA,"HARINA DE TRIGO, PROTEINA VEGETAL DE SOYA",04/11/2012 12:00:00 AM
71,MOLINOS SANTA MARTA SAS,SANTA MARTA,"KILOMETRO 12,5 VIA ALTERNA AL PUERTO, ZONA BURECHE",HARINA DE TRIGO FORTIFICADA,03/30/2012 12:00:00 AM
